time, uz, alt, vel_alt, uthe, roll, uphi, pitch, upsi, yaw, ux, pos_x, vel_x, uy, pos_y, vel_y, Fz, Fx, Fy
[23.300000000000196, 0.6231913018179849, 4.722085952758789, 0.08497112989425659, -0.038025485717254365, 0.13383657969730592, 0.017728402810745957, -0.05736292401127194, 0.0, 0.02978428296946152, 0.01860005348920822, 9.288801193237305, 0.4722622036933899, 0.039916411745428475, -2.201817750930786, 0.649192214012146, -1.9830267467822154e-11, 2.358217448704614e-73, -3.110158386906737e-05]
[23.350000000000197, 0.5945210324795057, 4.726710319519043, 0.13839693367481232, -0.062213447592219334, 0.11355580177190319, 0.025235197317368986, -0.04741513046521987, 0.0, 0.037013183617986306, 0.019771960116922855, 9.306055068969727, 0.4394633173942566, 0.04881285452318471, -2.177823305130005, 0.580958366394043, -3.711596953798304e-11, 8.226120884108245e-74, -0.00014149618428155924]
[23.400000000000198, 0.5683270908508576, 4.738485336303711, 0.24307513236999512, -0.09584276549839886, 0.03522214317247048, 0.03770157160970845, -0.007413622243836142, 0.0, 0.048187461544893284, 0.020390206947922707, 9.330327033996582, 0.41388627886772156, 0.052006430802776914, -2.1455562114715576, 0.524802565574646, -5.919925075467202e-11, 5.570923158005419e-74, -0.00020998521099638688]
[23.4500000000002, 0.5242522693172961, 4.749406814575195, 0.288817822933197, -0.4043794480181505, 0.015047734344828066, 0.1575754854310843, 0.006170480737745211, 0.0, 0.0497210418210109, 0.02098815131932497, 9.346054077148438, 0.4067619740962982, 0.057239081439559754, -2.125295400619507, 0.5054808259010315, -1.1828713398970848e-10, 2.057731041282081e-74, -0.00038045365124527754]
[23.5000000000002, 0.5258469186382484, 4.767916679382324, 0.30961403250694275, -0.3863611126496229, -0.010421096600686047, 0.13977972972149982, 0.018138271758425285, 0.0, 0.04616788416407374, 0.02066409952938557, 9.369549751281738, 0.40400105714797974, 0.060335985521326824, -2.0958220958709717, 0.4901750087738037, -1.2050076242825134e-10, 1.399089001866999e-74, -0.0004459419353540648]
[23.5500000000002, 0.5188016135065961, 4.780395030975342, 0.2986321449279785, -0.6178888476326715, -0.05065266496525211, 0.26838219383129325, 0.03302682390519597, 0.0, 0.04202117715422532, 0.022434074729681015, 9.385296821594238, 0.4067133963108063, 0.06012890297240687, -2.076298713684082, 0.495362251996994, -8.507797753735237e-11, 5.116996156252913e-75, -0.0005485422082032558]
[23.6000000000002, 0.5340113309712575, 4.796877861022949, 0.24408425390720367, -0.2565153195555277, -0.19713807975799663, 0.10670931288601211, 0.08949724407711908, 0.0, 0.03275467074530555, 0.023837318308651448, 9.409704208374023, 0.431539386510849, 0.058703967560646365, -2.0454041957855225, 0.5594212412834167, -6.313900876366013e-11, 3.419111651929987e-75, -0.0004979265902722381]
[23.6500000000002, 0.5249528390178917, 4.805788040161133, 0.1914045363664627, -0.3359978528988926, -0.26902211711732893, 0.1551828554863738, 0.1181467974669423, 0.0, 0.02599973229594529, 0.02168000262230635, 9.427205085754395, 0.46096447110176086, 0.04898740335446922, -2.021728515625, 0.6378782391548157, -2.3511422306009802e-11, 1.0947360135647273e-75, -0.000175080123824818]
[23.700000000000202, 0.5309956698318132, 4.816538333892822, 0.14754942059516907, -0.21650517028811067, -0.3898384304017218, 0.10421571837996486, 0.1699552727069994, 0.0, 0.011831866665486121, 0.020352851394563914, 9.460657119750977, 0.545316219329834, 0.04303360405390109, -1.9718222618103027, 0.8561731576919556, -1.4833707148831767e-11, 6.634115559138887e-76, -7.274572695341119e-05]
[23.750000000000203, 0.5181564366897077, 4.82067346572876, 0.11488910764455795, -0.2786283169070821, -0.37965405041610567, 0.1733435851642521, 0.17608111674398103, 0.0, 0.014050895780878838, 0.01323655353859067, 9.478628158569336, 0.5868192911148071, 0.02195413331362932, -1.9427849054336548, 0.9594810009002686, -8.210648566125884e-12, 1.3989317912479936e-76, 1.2713935677066138e-05]
[23.800000000000203, 0.5183713221246777, 4.825005531311035, 0.028476739302277565, -0.1950734484190588, -0.32395522459104215, 0.13861493734867217, 0.16309555560979308, 0.0, 0.024389172443860494, 0.01082391008734703, 9.515534400939941, 0.6514480710029602, 0.01547826339098384, -1.8804965019226074, 1.1143616437911987, -4.8630529787057195e-12, 7.104703743782506e-77, 1.2027297711364923e-05]
[23.850000000000204, 0.5479934539174524, 4.824873447418213, -0.03753798454999924, 0.001932716346357494, -0.29966899481931303, 0.005352806955996076, 0.15448581874912326, 0.0, 0.0277689831672955, 0.0018848662171512837, 9.542174339294434, 0.6881259083747864, -0.0006805651148954756, -1.834243655204773, 1.1992255449295044, -9.14464501829528e-13, 1.0732446812820258e-77, 7.029453886444637e-06]
[23.900000000000205, 0.5465132499522024, 4.819453716278076, -0.14732375741004944, 0.019333200521909812, -0.27006371499708054, -0.005592617616055518, 0.1515512083721157, 0.0, 0.027262151331097047, -0.0018925883807241924, 9.584735870361328, 0.7381898164749146, -0.006543365447345863, -1.7590676546096802, 1.3072298765182495, -4.119707722166204e-13, 4.909760667661942e-78, 5.690876130708888e-06]
[23.950000000000205, 0.5799106671087385, 4.8124823570251465, -0.19259779155254364, 0.032800132057502714, -0.2419196185076961, -0.017165447405359364, 0.14914812108963163, 0.0, 0.025725903335196122, -0.011123136254027485, 9.614880561828613, 0.7757906317710876, -0.021263014432496584, -1.7054877281188965, 1.3757894039154053, -6.74151611253348e-14, 5.590603931033681e-79, 3.3345885638617996e-06]
[24.000000000000206, 0.6027976890514165, 4.79859733581543, -0.24542589485645294, 0.0370884668740634, -0.15680343834898244, -0.026400373361370726, 0.10880501231996616, 0.0, 0.03125517443542022, -0.02271089082583785, 9.66125202178955, 0.8182951211929321, -0.03192365642441888, -1.6203794479370117, 1.443981647491455, -2.744302001481662e-14, 8.596052712226009e-80, 2.9410280634726513e-06]
[24.050000000000207, 0.6124476596969053, 4.787857532501221, -0.2624613642692566, 0.03856644563541463, -0.09237449227812514, -0.028840428897565003, 0.07007570602271883, 0.0, 0.03405966415261239, -0.027391146840527653, 9.693159103393555, 0.8301743865013123, -0.03665166577650323, -1.5620718002319336, 1.4589474201202393, -2.1989838245774882e-14, 2.528301891277815e-80, 3.7844301674855858e-06]
