time, uz, alt, vel_alt, uthe, roll, uphi, pitch, upsi, yaw, F
[1.4000000000000006, 0.5991233143806458, 3.5824127197265625, 2.1814041137695312, 0.0, -0.000659268421082659, 0.0, 0.001174832956990106, 0.0, -0.0057623766320574745, array([[ -9.65491919e-29]])]
[1.4500000000000006, 0.42032145667076115, 3.6423542499542236, 2.1712472438812256, 0.0, -0.0005255583355711654, 0.0, 0.0009918090536824228, 0.0, -0.005326449421153719, array([[ -1.15155974e-28]])]
[1.5000000000000007, 0.1962923256158829, 3.7697885036468506, 2.080185890197754, 0.0, -0.0005384255371585296, 0.0, 0.0006243270301977658, 0.0, -0.004487378534420274, array([[ -1.18888290e-27]])]
[1.5500000000000007, -0.22201362597942353, 3.902576446533203, 1.5954633951187134, 0.0, -0.00035563006143274995, 0.0, 0.00032191668229733533, 0.0, -0.0036669193371667696, array([[ -1.58551613e-23]])]
[1.6000000000000008, -0.3309474506378174, 3.9582417011260986, 1.2233436107635498, 0.0, -0.00022344099646670889, 0.0, 0.0002540774600073485, 0.0, -0.0031477247894069016, array([[ -3.05415262e-15]])]
[1.6500000000000008, 0.0004958422184020994, 4.013099670410156, 0.6495394110679626, 0.0, -2.5081284961598584e-05, 0.0, 0.0001810436126745167, 0.0, -0.002354072788549761, array([[ -1.16949275e-12]])]
[1.7000000000000008, 0.16063024163363104, 4.026875019073486, 0.38106784224510193, 0.0, 0.00015564944197168684, 0.0, 0.0001682465401592621, 0.0, -0.0018483793789656447, array([[ -3.98056542e-10]])]
[1.7500000000000009, 0.6622311862813403, 4.028136730194092, -0.2011801302433014, 0.0, 0.00031056791597387377, 0.0, 0.00021225450737931913, 0.0, -0.0011880867305969864, array([[ -5.59111301e-10]])]
[1.800000000000001, 0.9788151862196077, 4.024075984954834, -0.16780626773834229, 0.0, 0.00039326548331069486, 0.0, 0.00024270604404647426, 0.0, -0.0007988036475775382, array([[ -1.35885861e-10]])]
[1.850000000000001, 0.9778101602959506, 4.0204572677612305, 0.14521366357803345, 0.0, 0.00033739284188803595, 0.0, 0.0002025354689061775, 0.0, -0.0005605189131012079, array([[ -9.87140142e-10]])]
[1.900000000000001, 0.3276576929687836, 4.054386615753174, 1.0423492193222046, 0.0, 0.0002051414226892708, 0.0, 0.00030389577238792753, 0.0, -0.0004366944555903678, array([[ -5.50290653e-14]])]
[1.950000000000001, -0.9206402428745675, 4.1040263175964355, 1.3489044904708862, 0.0, 0.00013447525644573886, 0.0, 0.0002626065187205647, 0.0, -0.0003085815575832615, array([[ -1.96793154e-17]])]
[2.000000000000001, -1.5195225812196733, 4.175080299377441, 0.9720300436019897, 0.0, -5.361879099636669e-07, 0.0, 0.0002879534161843745, 0.0, -0.0003024458649834591, array([[ -3.99421432e-14]])]
[2.0500000000000007, -1.0423108354210455, 4.20603609085083, 0.5959276556968689, 0.0, -0.0001430135663522497, 0.0, 0.00039060986245956285, 0.0, -0.0003044967677566203, array([[ -9.35035491e-12]])]
[2.1000000000000005, -0.2396823583598809, 4.223940372467041, 0.02244446985423565, 0.0, -0.0002354619651055696, 0.0, 0.0005387033602383451, 0.0, -0.0002871677570755372, array([[ -2.50060434e-11]])]
[2.1500000000000004, 0.7539453158274759, 4.21675968170166, -0.3605613708496094, 0.0, -0.0003095082218094867, 0.0, 0.0007026577049445692, 0.0, -0.0003140184696776558, array([[ -1.38192340e-12]])]
[2.2, 1.0735306812538616, 4.185908794403076, -0.4548802971839905, 0.0, -0.0003932538467363984, 0.0, 0.0008734559254321666, 0.0, -0.0003359978647986081, array([[ -3.93593748e-13]])]
[2.25, 0.8733608035747173, 4.1817779541015625, 0.47919902205467224, 0.0, -0.0001921262131286137, 0.0, 0.0006553465877489122, 0.0, -0.0004707589978432835, array([[ -6.48451941e-11]])]
[2.3, -0.008744599200201228, 4.199804782867432, 0.8213709592819214, 0.0, -0.00022013724228642014, 0.0, 0.0005782501875039444, 0.0, -0.0004265054792452815, array([[ -3.90160316e-13]])]
[2.3499999999999996, -1.0727044902439984, 4.266790866851807, 0.7511807084083557, 0.0, -0.00021400540322065255, 0.0, 0.0004599502861865671, 0.0, -0.00033562241221879566, array([[ -1.25970165e-14]])]
[2.3999999999999995, -1.0745936481356495, 4.2839765548706055, 0.49199968576431274, 0.0, -0.00017342423825100986, 0.0, 0.0004734452461741365, 0.0, -0.0001838856015262901, array([[ -4.86124456e-12]])]
[2.4499999999999993, -0.21315443707516446, 4.295703887939453, 0.11163582652807236, 0.0, -0.0001650785720179741, 0.0, 0.00046536048332382096, 0.0, -8.07074765097532e-05, array([[ -1.66205791e-11]])]
[2.499999999999999, 0.6825182924511342, 4.284614562988281, -0.4634092450141907, 0.0, -0.00017259582033446745, 0.0, 0.0005252593120285871, 0.0, 9.107615535424963e-05, array([[ -7.69525608e-14]])]
[2.549999999999999, 1.3813575350940999, 4.259620189666748, -0.6800663471221924, 0.0, -0.00012289093467226004, 0.0, 0.0005905448018108324, 0.0, 0.00025798671239069877, array([[ -2.94685628e-15]])]
[2.5999999999999988, 1.3577373852729826, 4.229575157165527, -0.11192021518945694, 0.0, -7.657214470225041e-05, 0.0, 0.0006137817297185981, 0.0, 0.00043855662527239164, array([[ -1.07461965e-11]])]
[2.6499999999999986, 0.441905382651406, 4.237027645111084, 0.5426735281944275, 0.0, -9.767458427656155e-05, 0.0, 0.0003160605476159781, 0.0, 0.00046486428352425816, array([[ -9.85206328e-12]])]
[2.6999999999999984, -0.5530619772723145, 4.289795875549316, 1.0576367378234863, 0.0, -4.375597630817362e-05, 0.0, 0.0004825636421901806, 0.0, 0.00038512736223355313, array([[ -1.30028751e-15]])]
[2.7499999999999982, -1.4271682424992311, 4.351834297180176, 0.6096925139427185, 0.0, 0.0001316830027332727, 0.0, 0.0006468363065286851, 0.0, 0.000269360964991873, array([[ -2.63467060e-14]])]
[2.799999999999998, -1.1779411645531392, 4.3674845695495605, 0.2305993288755417, 0.0, 0.00017244576371745909, 0.0, 0.000761643220834712, 0.0, 0.00019689146465123923, array([[ -4.05602061e-12]])]
[2.849999999999998, 0.010196669244538168, 4.369441509246826, -0.03715929761528969, 0.0, 0.00020021166274623682, 0.0, 0.0009422096746519977, 0.0, 0.00017500375192943326, array([[ -3.03192208e-12]])]
