time, uz, alt, vel_alt, uthe, roll, uphi, pitch, upsi, yaw, F
[0.0, 0.0, 0.018478654325008392, 0.03675941750407219, 0.0, -0.013728913203292689, 0.0, 0.023939682770448154, 0.0, -0.08499317751201779, array([[-6.25471643]])]
[0.05, 6.256472994978231, 0.018478654325008392, 0.03675941750407219, 0.0, -0.013728913203292689, 0.0, 0.023939682770448154, 0.0, -0.08499317751201779, array([[-20.07385152]])]
[0.1, 20.076710559979936, 0.01839815266430378, 0.06470249593257904, 0.0, -0.01370172362110081, 0.0, 0.023711509219395157, 0.0, -0.08486898650607529, array([[-45.65028229]])]
[0.15000000000000002, 45.65294173667357, 0.027774998918175697, 0.5247647166252136, 0.0, -0.01183585941102028, 0.0, 0.019204187369539376, 0.0, -0.08246219811101976, array([[ 12.68887839]])]
[0.2, -13.061797817265095, 0.050708942115306854, 0.9767684936523438, 0.0, -0.010404902872459643, 0.0, 0.015338172558172245, 0.0, -0.07957320032935784, array([[ 0.02462937]])]
[0.25, -0.714326446417164, 0.129024475812912, 1.0494015216827393, 0.0, -0.006541237908178691, 0.0, 0.00852980176187054, 0.0, -0.061475571868438036, array([[ 0.00577415]])]
[0.3, -0.6348958988239303, 0.1571781039237976, 0.7559146285057068, 0.0, -0.005887942604518496, 0.0, 0.007686174802098291, 0.0, -0.05780885443448491, array([[ 1.16882214]])]
[0.35, -1.2502444632406582, 0.18532681465148926, 0.10797466337680817, 0.0, -0.0024844773538285282, 0.0, 0.0033623706961841554, 0.0, -0.03966426335114617, array([[-1516.52234728]])]
[0.39999999999999997, 1517.0316340928498, 0.18338266015052795, -0.19785332679748535, 0.0, -0.0014995991503882259, 0.0, 0.0021005197918045186, 0.0, -0.03421226510470368, array([[-2439.97628206]])]
[0.44999999999999996, 2440.756291397318, 0.16004902124404907, -0.08702825754880905, 0.0, 0.0013925487919193363, 0.0, -0.000960809586254777, 0.0, -0.01807458598662016, array([[-6545.20777446]])]
[0.49999999999999994, 6545.7645860514285, 0.16435609757900238, 0.40091371536254883, 0.0, 0.0017415185272220436, 0.0, -0.0007249993939307029, 0.0, -0.015179970948564672, array([[-3395.32501111]])]
[0.5499999999999999, 3395.4123197825966, 0.22622735798358917, 1.4499249458312988, 0.0, 0.001765853375320091, 0.0, -0.0005139544482748939, 0.0, -0.009485388548272617, array([[ -7.70711581e-06]])]
[0.6, -0.8426179262971596, 0.33800822496414185, 2.1869468688964844, 0.0, 0.001102595037773474, 0.0, -0.00013185820811807323, 0.0, -0.007845392434901031, array([[ -1.62964492e-13]])]
[0.65, -1.0955856359934666, 0.41987332701683044, 1.913390040397644, 0.0, 0.00074412763662378, 0.0, -2.0338040397018945e-05, 0.0, -0.0070367757819909844, array([[ -3.56598189e-13]])]
